node,city,lat,lng
A,Adelaide,-34.9289,138.6011
B,Ballarat,-37.55,143.85
C,Bendigo,-36.75,144.2667
D,Brisbane,-27.4678,153.0281
E,Bunbury,-33.3333,115.6333
F,Bundaberg,-24.85,152.35
G,Cairns,-16.9303,145.7703
H,Canberra,-35.2931,149.1269
I,Coffs Harbour,-30.3022,153.1189
J,Cranbourne,-38.0996,145.2834
K,Darwin,-12.4381,130.8411
L,Geelong,-38.15,144.35
M,Gold Coast,-28.0167,153.4
N,Hobart,-42.8806,147.325
O,Ipswich,-27.6167,152.7667
P,Launceston,-41.4419,147.145
Q,Mackay,-21.1411,149.1861
R,Maitland,-32.7167,151.55
S,Melbourne,-37.8136,144.9631
T,Newcastle,-32.9167,151.75
U,Perth,-31.9522,115.8589
V,Rockhampton,-23.375,150.5117
W,Sydney,-33.865,151.2094
X,Toowoomba,-27.5667,151.95
Y,Townsville,-19.2564,146.8183
Z,Wollongong,-34.4331,150.8831
